INDEX,Name,Estado,Municipio,geometry,SpotType
10,Zapopan,Jalisco,Zapopan,"POLYGON Z ((-103.4503062582425 20.66919945355711 1691.645986052283, -103.413281379898 20.63518815550721 1621.277471644599, -103.3899847531364 20.67449325725497 1609.229348596414, -103.4288615008043 20.68104468637395 1648.799671955661, -103.4503062582425 20.66919945355711 1691.645986052283))",Retail
11,Indutrial Centro,Jalisco,Guadalajara,"POLYGON Z ((-103.3930875062226 20.6653254349465 1609.396254258027, -103.3418717746549 20.63751298472246 1562.53462974711, -103.3219340920826 20.65802687417283 1554.221839173809, -103.3330097921433 20.66737059964469 1556.048729274592, -103.3543927361748 20.67713546414089 1550.011256646022, -103.384606855468 20.6786437259523 1600.051505686699, -103.3930875062226 20.6653254349465 1609.396254258027))",Retail
12,Puerta de Hierro,Jalisco,Zapopan,"POLYGON Z ((-103.446824659004 20.72976616773477 1647.90246466681, -103.4567728979762 20.69964153099386 1682.321996679463, -103.4438153143879 20.6894712557368 1669.671061320157, -103.3942756831768 20.68132491313531 1606.973047808299, -103.3814233976324 20.71550148772136 1555.362962466613, -103.4254603374194 20.7263692825091 1624.211956903524, -103.446824659004 20.72976616773477 1647.90246466681))",Retail
13,Guadalajara Centro,Jalisco,Guadalajara,"POLYGON Z ((-103.3541081651884 20.67822339073566 1558.543257413203, -103.3307749375388 20.66737260440719 1560.092862561512, -103.32151737507 20.65876393631538 1559.380603033163, -103.3121811053516 20.67905314850816 1561.821631673273, -103.3230791605186 20.69398492735719 1556.513938262091, -103.3483822223039 20.70573050882329 1542.357113961975, -103.3648226542471 20.7059649658258 1543.748749400648, -103.3841757614084 20.6796772160743 1588.22284754974, -103.3541081651884 20.67822339073566 1558.543257413203))",Retail
14,San Pedro Garza García,Nuevo León,San Pedro Garza García,"POLYGON Z ((-100.3946836967222 25.6732833264332 603.4955990105788, -100.4122498297711 25.66675403386999 620.9164241446413, -100.4182715476067 25.65923596216112 681.9207793653937, -100.4178915566424 25.65142074917216 753.3362835378116, -100.4084307781628 25.64297136329278 898.8174338928659, -100.4023279740733 25.63844286220785 1030.641052642001, -100.3954122683444 25.63295639240502 1042.3375462154, -100.3830530423251 25.63201318804642 909.7269754191724, -100.3728487950963 25.63028717596851 791.7558094661091, -100.3742108049888 25.62375928793775 977.2174328016939, -100.3608320907987 25.62035302880956 868.4274319285464, -100.3462320670541 25.62567595366065 690.6578722330488, -100.3368120474505 25.62973487458311 655.4862777245596, -100.3312046152567 25.62698743816982 727.774538913598, -100.3264409615634 25.63290565804591 855.4456598767142, -100.3300570507217 25.64190277542808 645.087986594237, -100.3248382051844 25.64704167984636 608.5323154303484, -100.3476310834476 25.66114641022886 623.4948747631797, -100.3652391382118 25.67004712072642 571.731258820532, -100.3754288457631 25.66695540015026 592.3872623417254, -100.3946836967222 25.6732833264332 603.4955990105788))",Retail
15,Independencia,Nuevo León,Monterrey,"POLYGON Z ((-100.3242908185111 25.64756429990569 603.8103032833568, -100.3225966472113 25.64474295746585 591.7038269082578, -100.3093901903805 25.63728727577744 579.5973505331588, -100.3052955581821 25.64035654670874 571.4169986525696, -100.3018030025454 25.66401039173796 531.5508258618169, -100.3151899355272 25.66244102032445 534.0533506598198, -100.3320787569607 25.66667762648948 543.7655221759253, -100.3351421528784 25.66605968870535 552.4008942779992, -100.3509860411397 25.67079766414095 561.6045163622589, -100.359702484849 25.67364408858268 571.883905771274, -100.3635411294373 25.6701251642328 590.2662168650405, -100.3242908185111 25.64756429990569 603.8103032833568))",Retail
16,Mty Centro,Nuevo León,Monterrey,"POLYGON Z ((-100.3519732286447 25.67250842602208 569.3003519953719, -100.3344362900998 25.66698641836755 545.6916256671266, -100.3158988845533 25.664263214991 532.0370521376916, -100.3095283208825 25.66364715445571 530.7895822752402, -100.2983183250564 25.66890152724994 521.3757698122648, -100.284127448167 25.67354114634439 511.5121547273946, -100.3033591818857 25.70412739235477 521.4397405424546, -100.3513569147182 25.70443950868868 561.6748478043354, -100.3519732286447 25.67250842602208 569.3003519953719))",Retail
17,Contry,Nuevo León,Monterrey,"POLYGON Z ((-100.3032916335202 25.64089231624281 571.0583384813416, -100.3083005586304 25.6358273384037 582.968528301411, -100.2594986698408 25.60934060842882 625.8069918704047, -100.2547856264438 25.65771733170958 566.3881969557576, -100.2748694808207 25.67438247025834 514.0371985111464, -100.3007427864789 25.6650572391226 529.3669220736128, -100.3032916335202 25.64089231624281 571.0583384813416))",Retail
18,Cumbres,Nuevo León,Monterrey,"POLYGON Z ((-100.4464034863128 25.7583100375435 650.0087211651891, -100.4053458093132 25.72496519887205 818.6906622679504, -100.3545984492005 25.68504118009113 579.5683792356247, -100.3520987936018 25.70456616714481 560.083914458489, -100.3910664233374 25.74878716775412 627.5297232995824, -100.4234458943682 25.77301236489854 602.7842882869115, -100.4347878947376 25.77313719663816 615.84968593773, -100.4464034863128 25.7583100375435 650.0087211651891))",Retail
19,Santa Catarina,Nuevo León,Monterrey,"POLYGON Z ((-100.4928923030709 25.72352216852805 745.6646420053236, -100.5211065148088 25.71412637860479 768.862400428725, -100.5162503917429 25.69306780266268 812.7097403053027, -100.4841525311343 25.67116878879542 836.552416153775, -100.4339562645316 25.65894855408054 677.3555806354614, -100.3874864850677 25.67869558076489 639.8404750222444, -100.4928923030709 25.72352216852805 745.6646420053236))",Retail
20,San Nicolas de los Garza,Nuevo León,San Nicolás de los Garza,"POLYGON Z ((-100.3063153277364 25.76444831117144 493.5637874896053, -100.3064225818234 25.73245030070473 546.2403767822827, -100.2927144404831 25.7209780499552 519.4514204284917, -100.2404323635937 25.74241865087847 467.1632771336604, -100.2657769008253 25.77114843043703 478.448113777908, -100.3063153277364 25.76444831117144 493.5637874896053))",Retail
21,APODACA (NLN),Nuevo León,Monterrey,"POLYGON Z ((-100.2651829823 25.8241718261 0, -100.2770018764 25.8054372074 0, -100.2709445374 25.80441953800001 0, -100.2698060059 25.7753600399 0, -100.2599646846 25.7637627849 0, -100.2484744215 25.7617779986 0, -100.241662226 25.7500222026 0, -100.2092025984 25.7357855421 0, -100.1810167746 25.7336620344 0, -100.1808147716 25.7258601471 0, -100.1849856344 25.726152506 0, -100.1855879004 25.7166456093 0, -100.1767544838 25.7097156603 0, -100.1739979578 25.7135658586 0, -100.1476922164 25.7062882652 0, -100.1302319783 25.7050416355 0, -100.1292051532 25.7005401791 0, -100.1245646816 25.6981548252 0, -100.1232062122 25.702147599 0, -100.1182278563 25.7037759015 0, -100.1185942286 25.7096300592 0, -100.0948671932 25.7056300431 0, -100.0954843602 25.7175728675 0, -100.1052824938 25.7156942205 0, -100.1066774486 25.7209982567 0, -100.1254469416 25.7204398593 0, -100.1256510868 25.7383541876 0, -100.1159816962 25.7402355844 0, -100.1120018405 25.7475074267 0, -100.0941861887 25.7455544243 0, -100.0864534497 25.7402380196 0, -100.0817486269 25.7408345349 0, -100.0804647731 25.7471313015 0, -100.0950652731 25.7567109463 0, -100.0925421144 25.7669923874 0, -100.0638982412 25.7562180934 0, -100.0612352072 25.7561676352 0, -100.0606387133 25.7653383571 0, -100.0666638435 25.7676333604 0, -100.064764037 25.7782664616 0, -100.0779721669 25.7825523824 0, -100.0866323259 25.7807609818 0, -100.1036636952 25.7901600314 0, -100.1058307357 25.8003065589 0, -100.1027599537 25.8068993698 0, -100.1250659571 25.8190790203 0, -100.1326694224 25.8268673154 0, -100.1290599204 25.8305431775 0, -100.1301185115 25.833593522 0, -100.1161364583 25.8394416456 0, -100.114900434 25.8473347319 0, -100.1207515955 25.8523005834 0, -100.1348284274 25.851132493 0, -100.168998425 25.8656651606 0, -100.1723518245 25.8630919086 0, -100.1744539672 25.865428332 0, -100.2355609734 25.8669037108 0, -100.2428772707 25.8579615052 0, -100.247732665 25.8673278299 0, -100.2678636252 25.8661417607 0, -100.269153869 25.8511932471 0, -100.2725816221 25.8511577988 0, -100.2651829823 25.8241718261 0))",Industrial
22,PESQUERIA (NLN),Nuevo León,Monterrey,"POLYGON Z ((-100.1301185115 25.833593522 0, -100.1290599204 25.8305431775 0, -100.1326694224 25.8268673154 0, -100.1250659571 25.8190790203 0, -100.1027599537 25.8068993698 0, -100.1058307357 25.8003065589 0, -100.1036636952 25.7901600314 0, -100.0866323259 25.7807609818 0, -100.0779721669 25.7825523824 0, -100.064764037 25.7782664616 0, -100.0666638435 25.7676333604 0, -100.0606387133 25.7653383571 0, -100.0612352072 25.7561676352 0, -100.0638982412 25.7562180934 0, -100.0925421144 25.7669923874 0, -100.0950652731 25.7567109463 0, -100.0804647731 25.7471313015 0, -100.0817486269 25.7408345349 0, -100.0864534497 25.7402380196 0, -100.0941861887 25.7455544243 0, -100.1120018405 25.7475074267 0, -100.1159816962 25.7402355844 0, -100.1256510868 25.7383541876 0, -100.1254469416 25.7204398593 0, -100.1066774486 25.7209982567 0, -100.1052824938 25.7156942205 0, -100.0954843602 25.7175728675 0, -100.0948671932 25.7056300431 0, -100.0528697038 25.7018671119 0, -100.0509628817 25.7062335147 0, -100.0440953374 25.7082717645 0, -100.0369151643 25.7024334712 0, -99.99619890640001 25.694907416 0, -99.9842197859 25.69865649680001 0, -99.9686234468 25.6935519762 0, -99.95789163710002 25.701360059 0, -99.925707522 25.700192125 0, -99.9164750239 25.6978769551 0, -99.9080139261 25.6917801825 0, -99.9035777729 25.6919033507 0, -99.89890152950001 25.6963858091 0, -99.8817846772 25.6951527382 0, -99.87163592740002 25.6895394959 0, -99.8535174529 25.6902490996 0, -99.840637426 25.6834451879 0, -99.8399416707 25.6789007901 0, -99.83087398400001 25.6776893559 0, -99.83058158210001 25.665731067 0, -99.8199431204 25.6657583574 0, -99.8099034818 25.6760604757 0, -99.79926011170001 25.6757325993 0, -99.80232753050001 25.66529894889999 0, -99.79152266570001 25.6740111999 0, -99.78561419480002 25.6748181582 0, -99.78468134440001 25.6749412573 0, -99.7796237065 25.6845940101 0, -99.7736759962 25.6882660934 0, -99.76862011400002 25.7006756757 0, -99.780038302 25.7138773359 0, -99.7934766121 25.7154695274 0, -99.7976746512 25.7271820645 0, -99.8120047582 25.733020461 0, -99.8214013114 25.74116647310001 0, -99.85043144910003 25.7441176579 0, -99.88176199200002 25.7516469131 0, -99.9136058049 25.7598658961 0, -99.93413888920001 25.7564961522 0, -99.9450576654 25.762677197 0, -99.95876369240001 25.7655193761 0, -99.965881927 25.7714779742 0, -99.971203023 25.7687070383 0, -99.9807154562 25.7694896813 0, -99.98822451290002 25.7787714687 0, -99.99297956160001 25.8031088995 0, -100.0216871866 25.8086453876 0, -100.0298008872 25.8193651755 0, -100.0332901714 25.8298552589 0, -100.0486826125 25.8223357033 0, -100.0571609013 25.8255768002 0, -100.0620743652 25.8226075665 0, -100.1003531245 25.8326075318 0, -100.1161364583 25.8394416456 0, -100.1301185115 25.833593522 0))",Industrial
23,MONTERREY (NLN),Nuevo León,Monterrey,"POLYGON Z ((-100.3920921741 25.6989073918 0, -100.3779497435 25.6729525107 0, -100.3667551153 25.6750512701 0, -100.3413179854 25.6685217153 0, -100.3317785855 25.6647853058 0, -100.325774468 25.65538059329999 0, -100.3223194386 25.6571673095 0, -100.3076053265 25.6466813734 0, -100.3169764585 25.6360962354 0, -100.3225273482 25.6198197149 0, -100.3405136759 25.5874279964 0, -100.3149693138 25.5758765542 0, -100.3192748562 25.5699899836 0, -100.3137916883 25.56013599270001 0, -100.3161665864 25.5496120927 0, -100.3009796475 25.5441808905 0, -100.2971171502 25.5359670167 0, -100.2789177807 25.5233536537 0, -100.2781726054 25.5169144066 0, -100.271913087 25.5140437447 0, -100.2693035898 25.5004544251 0, -100.259411739 25.4844270177 0, -100.2474362319 25.4944189793 0, -100.2318655931 25.5003426108 0, -100.2309945957 25.5115718307 0, -100.2227558931 25.5065909068 0, -100.2191108589 25.5107772509 0, -100.2104835445 25.5123405499 0, -100.2049812929 25.5207236376 0, -100.1972935547 25.5193215618 0, -100.1911926061 25.52609183 0, -100.1821135026 25.5190402241 0, -100.1857858683 25.5137030437 0, -100.166903229 25.5209250333 0, -100.1789984206 25.5338989489 0, -100.2018711317 25.557288914 0, -100.2018949589 25.5621147239 0, -100.2145846093 25.5774957925 0, -100.2127358708 25.5803322547 0, -100.2282114598 25.5955345668 0, -100.2303228251 25.6036123975 0, -100.2431028317 25.620261403 0, -100.2431244241 25.63059241910001 0, -100.2716947662 25.6269773123 0, -100.269096345 25.629806179 0, -100.2716875381 25.6328364454 0, -100.2687028822 25.636114604 0, -100.2692352728 25.6465598396 0, -100.2732879393 25.6465312081 0, -100.274324876 25.65136758570001 0, -100.2686568309 25.6555054818 0, -100.2752870894 25.6649282277 0, -100.2723636154 25.6657944936 0, -100.2717413391 25.6704858547 0, -100.2737415636 25.683495215 0, -100.2700190292 25.6857222853 0, -100.2629820768 25.6835235459 0, -100.2636054089 25.706721022 0, -100.2694285026 25.7069384598 0, -100.2715935841 25.7120317056 0, -100.2855045589 25.713088703 0, -100.3172866253 25.7257067754 0, -100.3194379808 25.7429608162 0, -100.3262447025 25.7446919735 0, -100.322530904 25.7524251468 0, -100.3403656763 25.7658249943 0, -100.3494285444 25.7745978248 0, -100.3542537163 25.7859291622 0, -100.3626739267 25.7894074122 0, -100.368239087 25.7961570357 0, -100.3852812893 25.8056346111 0, -100.3860082559 25.8019238573 0, -100.3976678614 25.8011616169 0, -100.4089138019 25.7701413062 0, -100.3950340541 25.7594371752 0, -100.4217901697 25.7205348005 0, -100.3920921741 25.6989073918 0))",Industrial
24,GUADALUPE (NLN),Nuevo León,Monterrey,"POLYGON Z ((-100.2629820768 25.6835235459 0, -100.2700190292 25.6857222853 0, -100.2737415636 25.683495215 0, -100.2717413391 25.6704858547 0, -100.2723636154 25.6657944936 0, -100.2752870894 25.6649282277 0, -100.2686568309 25.6555054818 0, -100.274324876 25.65136758570001 0, -100.2732879393 25.6465312081 0, -100.2692352728 25.6465598396 0, -100.2687028822 25.636114604 0, -100.2716875381 25.6328364454 0, -100.269096345 25.629806179 0, -100.2716947662 25.6269773123 0, -100.2431244241 25.63059241910001 0, -100.2075339365 25.6258064403 0, -100.191745566 25.6331926094 0, -100.1896026412 25.6434718002 0, -100.196897508 25.6477719555 0, -100.1942140409 25.6522674721 0, -100.175208595 25.6446319703 0, -100.127972519 25.6775251015 0, -100.1182278563 25.7037759015 0, -100.1232062122 25.702147599 0, -100.1245646816 25.6981548252 0, -100.1292051532 25.7005401791 0, -100.1302319783 25.7050416355 0, -100.1476922164 25.7062882652 0, -100.1739979578 25.7135658586 0, -100.1767544838 25.7097156603 0, -100.1855879004 25.7166456093 0, -100.1849856344 25.726152506 0, -100.1808147716 25.7258601471 0, -100.1810167746 25.7336620344 0, -100.2092025984 25.7357855421 0, -100.2078261665 25.7266192172 0, -100.2103573023 25.7194284455 0, -100.2384427379 25.7094653421 0, -100.24215002 25.7136872078 0, -100.2461343039 25.7114455655 0, -100.2553428076 25.7137957086 0, -100.2561807514 25.7102587454 0, -100.2599692528 25.7106719447 0, -100.2609655956 25.7057490564 0, -100.2636054089 25.706721022 0, -100.2629820768 25.6835235459 0))",Industrial
25,CIENEGA DE FLORES (NLN),Nuevo León,Monterrey,"POLYGON Z ((-100.1439891845 26.0184464058 0, -100.1551647181 26.0456309741 0, -100.1693410956 26.04168656 0, -100.1846319672 26.0268099392 0, -100.1982475715 26.0196559625 0, -100.1956519603 26.0245046783 0, -100.2015301297 26.0268466277 0, -100.2049531593 26.0355256919 0, -100.2268286477 26.0282713914 0, -100.2331957924 26.0382880191 0, -100.2570626618 26.0283587714 0, -100.2619353646 26.0309413922 0, -100.265847918 26.0295150323 0, -100.2733089022 26.0359696062 0, -100.2767872256 26.0301862835 0, -100.2726788715 26.019107728 0, -100.2804854908 26.01453146480001 0, -100.2738836947 26.0144966435 0, -100.2623457526 26.0076350438 0, -100.2398519828 26.00458745690001 0, -100.2329292119 26.000131782 0, -100.2334296163 25.9838981643 0, -100.2241574512 25.9804315672 0, -100.2302048227 25.9723925022 0, -100.2322576267 25.9548517932 0, -100.2418469793 25.95102225600001 0, -100.250447181 25.94312815729999 0, -100.2410049353 25.9360879057 0, -100.2448954197 25.93237668760001 0, -100.2368397312 25.9177707437 0, -100.2257902383 25.9126249629 0, -100.2181470029 25.9194949045 0, -100.2116591163 25.9034178183 0, -100.1975429998 25.9216305945 0, -100.1907529761 25.9188698462 0, -100.1831808286 25.9276793887 0, -100.1839469181 25.9165620054 0, -100.1728373568 25.9137150743 0, -100.1595518264 25.9287330002 0, -100.1669065043 25.9348384151 0, -100.1650236203 25.9446732781 0, -100.1514541662 25.9496945381 0, -100.1429228975 25.9621631887 0, -100.1241160437 25.97339578460002 0, -100.1275518045 25.9786316107 0, -100.1227999241 25.9868089726 0, -100.1280774279 25.988856539 0, -100.1254622025 25.99213543340001 0, -100.1126195267 25.9929274038 0, -100.1062062655 26.0007218849 0, -100.1219158935 26.0392420577 0, -100.1439891845 26.0184464058 0))",Industrial
26,ABASOLO (NLN),Nuevo León,Monterrey,"POLYGON Z ((-100.4281501389 25.8979585947 0, -100.4089386569 25.89499377290001 0, -100.3841765695 25.9324304601 0, -100.3906762041 25.9428691572 0, -100.3883547624 25.9448950033 0, -100.3815609658 25.94202455969999 0, -100.3794300963 25.9464641296 0, -100.3751625324 25.9864343637 0, -100.3950087056 25.9902161946 0, -100.4015263125 25.9945701276 0, -100.4508982671 25.933335673 0, -100.4436976796 25.9317242798 0, -100.4271655827 25.9148057065 0, -100.4243722946 25.90282703500001 0, -100.4290394053 25.8982030987 0, -100.4281501389 25.8979585947 0))",Industrial
27,GARCIA (NLN),Nuevo León,Monterrey,"POLYGON Z ((-100.535294265 25.9060219084 0, -100.5503013088 25.89976604670001 0, -100.5620308202 25.8906048378 0, -100.6113586448 25.8736762905 0, -100.6138867615 25.8677769357 0, -100.6212725591 25.8659365787 0, -100.6143101108 25.9479648282 0, -100.6142074906 25.9585906429 0, -100.6191473358 25.9723155469 0, -100.6234188997 25.96768286149999 0, -100.6486907755 25.9602730065 0, -100.6537219181 25.9557546936 0, -100.6630078065 25.9548714858 0, -100.6678538551 25.9467968362 0, -100.6751981183 25.9543654447 0, -100.7217335173 25.9491044574 0, -100.7382949328 25.98709052750001 0, -100.7399948558 25.9772482779 0, -100.7617904119 25.9582963047 0, -100.7714489277 25.9571830157 0, -100.7878470415 25.9484677691 0, -100.7977120621 25.9498751073 0, -100.8080350925 25.9472685319 0, -100.8159921272 25.9423316684 0, -100.8205204806 25.9516951733 0, -100.825239959 25.9476769351 0, -100.8657783753 25.8177587959 0, -100.7782377902 25.6407050579 0, -100.7296188586 25.63196298700001 0, -100.7054904498 25.6469787234 0, -100.716090974 25.6648678322 0, -100.6717789313 25.6700192424 0, -100.6582182388 25.6945471238 0, -100.6041353698 25.7108883894 0, -100.6047446827 25.7185299064 0, -100.5936769998 25.72651328750001 0, -100.5757251557 25.7238601088 0, -100.5671534564 25.7112317372 0, -100.5319019906 25.740249759 0, -100.5174284061 25.7460289303 0, -100.5097473585 25.7566768206 0, -100.4942785873 25.74425238550001 0, -100.4597478134 25.7354071312 0, -100.4406705534 25.7264792977 0, -100.4319061225 25.7577721773 0, -100.4166847533 25.7950395648 0, -100.4288777249 25.8182030187 0, -100.4327023085 25.8175786003 0, -100.4705496405 25.9026861577 0, -100.4905447213 25.9048529787 0, -100.4918901112 25.9072867348 0, -100.4981431628 25.9057859774 0, -100.535294265 25.9060219084 0))",Industrial
28,GENERAL ESCOBEDO (NLN),Nuevo León,Monterrey,"POLYGON Z ((-100.4431810435 25.8951133514 0, -100.443251165 25.89764393440001 0, -100.4514331288 25.9008789795 0, -100.4705496405 25.9026861577 0, -100.4327023085 25.8175786003 0, -100.4288777249 25.8182030187 0, -100.4166847533 25.7950395648 0, -100.4319061225 25.7577721773 0, -100.4406705534 25.7264792977 0, -100.4234881573 25.720859935 0, -100.4217901697 25.7205348005 0, -100.3950340541 25.7594371752 0, -100.4089138019 25.7701413062 0, -100.3976678614 25.8011616169 0, -100.3860082559 25.8019238573 0, -100.3852812893 25.8056346111 0, -100.368239087 25.7961570357 0, -100.3626739267 25.7894074122 0, -100.3542537163 25.7859291622 0, -100.3494285444 25.7745978248 0, -100.3403656763 25.7658249943 0, -100.2698060059 25.7753600399 0, -100.2709445374 25.80441953800001 0, -100.2770018764 25.8054372074 0, -100.2651829823 25.8241718261 0, -100.2725816221 25.8511577988 0, -100.2963916735 25.8527374174 0, -100.3808561606 25.85318951169999 0, -100.3816530608 25.8632994495 0, -100.4083077832 25.86858180380001 0, -100.4281501389 25.8979585947 0, -100.4290394053 25.8982030987 0, -100.4431810435 25.8951133514 0))",Industrial
29,SAN NICOLAS DE LOS GARZA (NLN),Nuevo León,Monterrey,"POLYGON Z ((-100.322530904 25.7524251468 0, -100.3262447025 25.7446919735 0, -100.3194379808 25.7429608162 0, -100.3172866253 25.7257067754 0, -100.2855045589 25.713088703 0, -100.2715935841 25.7120317056 0, -100.2694285026 25.7069384598 0, -100.2636054089 25.706721022 0, -100.2609655956 25.7057490564 0, -100.2599692528 25.7106719447 0, -100.2561807514 25.7102587454 0, -100.2553428076 25.7137957086 0, -100.2461343039 25.7114455655 0, -100.24215002 25.7136872078 0, -100.2384427379 25.7094653421 0, -100.2103573023 25.7194284455 0, -100.2078261665 25.7266192172 0, -100.2092025984 25.7357855421 0, -100.241662226 25.7500222026 0, -100.2484744215 25.7617779986 0, -100.2599646846 25.7637627849 0, -100.2698060059 25.7753600399 0, -100.3403656763 25.7658249943 0, -100.322530904 25.7524251468 0))",Industrial
